Source,Target
CALM2,MYO6
CAPZB,MRPL20
CARHSP1,STC2
CASP6,CHD3
CBFB,CHGB
CBX1,RPL12
CCL7,FEZ1
CCT3,EIF2B2
CCT5,TBC1D17
CD58,DNAJA1
CD81,DLG5
CDCA5,XRCC6
CDK5RAP2,STARD9
CDK5RAP3,CRMP1
CDKN1A,GNB2L1
CDKN1A,HDAC11
CELSR1,PSAP
ADAP2,EEF1G
ARAP1,XRCC6
CGA,PTN
CHFR,EEF1G
CHN1,GTF3C1
CHN1,RPS3A
CIDEA,ZBTB16
COL9A2,NOA1
COPS7A,PPBP
COQ6,ZBTB16
COX17,RBM48
COX17,PPBP
CPE,ROBO2
CPNE3,QARS
CPNE6,AK5
CSE1L,TMEM62
CSE1L,HNRNPL
CTSE,BAG6
CELF1,PPBP
CUX1,BIN1
CUX1,ELAC2
CUX1,RECQL5
CWF19L1,TOM1L1
CXCL13,EEF1G
CSDE1,STT3A
DAP,SETDB1
ENY2,MCM3AP
DDR1,SNRNP40
DDX19B,DCK
DDX19B,GNB2L1
DDX19B,XPO7
DDX24,BCS1L
DDX24,TRDMT1
DDX24,EIF3E
DDX24,MKS1
DDX24,HSP90AB1
DDX24,ITGB3BP
DDX24,PAFAH1B3
DDX24,TPI1
DDX24,VDAC3
DDX49,HAP1
DDX56,USP33
DFNA5,PTN
DGKD,HAX1
DGKD,IGSF21
DHX34,POLA2
IQCG,BAG6
C4orf17,TUBA4A
WIPI2,COPS6
MPC2,RPLP1
RIBC2,PJA1
RIBC2,RPL18A
FLYWCH1,SETDB1
SGK223,CHGB
SGK223,PSAP
HJURP,IMMT
DLEU1,ABCD4
DLEU1,ABCF3
DLEU1,GDF9
DLEU1,CCDC90B
DNAJB9,RFK
DNAJB9,SLC16A8
DYNLL1,DYNLL1
DNM1,ASB13
DNM1,PIN4
DNM2,DDX39B
DNMT1,TRIM27
DPM1,ZBTB16
DPPA4,VIM
DPT,BAG6
DPYSL4,SH3GL3
DRG1,CAPNS1
DUSP11,QARS
DUSP12,MBD6
ECHS1,CBWD2
EDN1,BAG6
EEF1D,CD48
EFNA1,PPBP
EGFL6,SH3GL2
EGR2,ACP5
EIF2B3,STC2
EIF2S2,PLEKHM1
EIF3E,HAP1
ENO2,C6orf47
ENO2,HSF1
ENO2,IL17B
ENO2,NDUFS7
ENO2,ST3GAL2
ENO2,SIGIRR
ENO2,UBE2C
DMTN,PROCR
EPS8,DNALI1
ETHE1,IGSF21
EZH2,ATP1A1
EZH2,NINL
EZH2,PSMB6
EZH2,WDR61
EZH2,RPN2
EZH2,WSB2
F10,PRKAB1
FAU,COPS6
FBL,TBC1D17
FBP2,CHD3
FBXL12,FXYD3
FBXO34,SKP1
SKP1,FBXO34
FCHO1,ZBTB16
FGFR3,SMG7
FGFR3,BORA
FGFR3,CCDC17
FGFR3,HBZ
FGFR3,HNRNPL
FGFR3,NDUFS6
FGFR3,RNF130
FKBP2,BAG6
FKBPL,UNC119
MAP7D1,APOA1
THNSL2,ZBTB16
C7orf43,C7orf43
C7orf43,TMEM50A
AAGAB,EIF3C
LPPR3,BAG6
CENPT,DHX29
FAM161A,PPM1F
LINGO1,FBXW7
DNAAF5,FEZ1
DNAAF5,ZBTB16
LAMTOR1,CCDC90B
CCDC109B,ZBTB16
C2orf44,MED31
CCDC92,CHGB
KATNBL1,KAT7
BORA,FEZ1
HEXDC,ADPRHL2
HEXDC,C7orf25
HEXDC,RILPL2
HEXDC,GDPD2
HEXDC,PSD
HEXDC,GLRX3
ANKRD13B,RPLP1
HYLS1,C14orf1
FMNL1,XRCC6
FTL,MAP3K12
FTL,TAF10
AKTIP,EXOC7
AKTIP,C10orf2
FUBP1,CELF1
FXYD6,HAUS2
FXYD6,CCDC90B
FXYD6,TRIM27
FXYD6,SLC35E1
GABARAPL2,ATG4B
GAL3ST4,XRCC6
GC,SERF2
MOGS,CHGB
CCDC47,TOM1L1
GLTSCR2,HAP1
GLUD2,TOM1L1
BTBD10,DLG5
GNB5,MVD
GNG11,ZHX1
GOLGB1,BRMS1
GOLM1,DCK
GOLM1,DCTN2
GOLM1,EIF3J
GOLM1,GEMIN7
GOLM1,C1orf174
GOLM1,RPL13A
GOLM1,MED22
GOLM1,SYT1
GOT2,THOC7
GPAA1,EIF3E
GPAA1,PIN1
GPS2,GOLGA2
POLR2M,HIGD1B
POLR2M,AHSP
POLR2M,WDR89
POLR2M,ANKHD1
POLR2M,MYO3A
POLR2M,MYO9A
POLR2M,UQCRQ
POLR2M,SCMH1
POLR2M,ZNF410
GSR,PJA1
HBB,SELT
LAMTOR5,MAF1
HDAC5,EEF1G
HERPUD1,CD58
HERPUD1,RPA2
HERPUD1,STARD9
HMG20B,HNRNPL
HMG20B,TACC2
HMOX2,HAP1
HMP19,SLC35F6
HN1,ARHGAP44
HNRNPH3,ANXA11
HNRNPH3,PIM2
HNRNPH3,RPS4X
HNRNPR,RPL26
HSPA4,CDC73
HSPA8,NOA1
HSPB3,ANP32A
HSPB3,MED31
HSPB3,FAM127B
HSPB3,RBM48
HSPB3,OLFML3
HSPB3,MED8
HSPB3,MRPL38
HSPB3,NSMF
HSPB3,RAMP3
HSPBAP1,PTN
HSPH1,CHD3
CCDC106,ATF4
PITHD1,CDC73
HTATSF1,FEZ1
ID2,RBM48
IGFBP3,POLA2
IGFBP5,BAG6
CD101,SRSF5
CD101,SH3GL3
CD101,ST13
IL6,SH3GL2
ILVBL,XRCC6
ISYNA1,PPP2CA
EIF6,ABCF1
EIF6,AKT1S1
EIF6,C4orf27
EIF6,MRPS31
EIF6,OFD1
EIF6,Sep-03
EIF6,USP33
EIF6,WFS1
ITSN1,SMARCC2
IVNS1ABP,VIM
KARS,PAFAH1B1
KARS,SLC25A6
KCNH2,CDC73
KCNH2,NDUFS6
KCTD15,WIPI1
KIAA0087,SLC35F6
KIAA0087,TP53
KIAA0232,SLC35F6
ODF2L,ERBB3
SMEK2,FEZ1
CALCOCO1,SH3GL3
KIAA1875,FBXW7
KLK10,LRIF1
KIF15,MAP1LC3A
L1CAM,PEA15
MED19,RADIL
MED19,NFKBIA
TINAGL1,MED31
LGALS4,ARPC3
LMTK3,ZBTB16
RPL4P5,TRIM9
C1orf174,COPS6
ZNF691,HAP1
FAM135B,KAT5
HGH1,TMEM256
HGH1,TRIT1
CCBL2,RABIF
NDUFA4L2,ANXA9
NDUFA4L2,PARK2
NDUFA4L2,QTRT1
LPL,UBE2Z
LRSAM1,GPR108
LRSAM1,NINL
LRSAM1,KLC1
LRSAM1,FAM178B
LSM2,GBP2
LTA4H,TMEM62
LUC7L2,PTCD3
LUC7L2,LUC7L2
LUC7L2,PEA15
LYPLA2,DKC1
LYPLA2,SCMH1
PLA2G15,IMMT
MAD2L1BP,TRIP13
MAFF,PSAP
MAGED1,MPC1
PAM16,FEZ1
MAP3K3,ZBTB16
MAPK8IP3,RIC8A
MAPK9,XPNPEP1
MAPK9,XPO7
MARK3,ATP6V0C
MARK3,CHGB
MARK3,SAAL1
MARK3,PMPCB
MARK3,PNPLA2
MARK3,VPS11
MCOLN1,TRIM27
MCOLN1,SLC35E1
MDH2,WARS
TMEM216,MCM3AP
FAM195A,EEF1G
PNMA6A,PNMA1
FAM69B,RBMS2
FAM173A,LUC7L
CCDC86,DLST
TMEM43,FDFT1
NOL12,SOD2
FAM101B,KAT5
C11orf49,RBM48
C11orf49,PSMA1
C11orf49,RPL8
C11orf49,RPS3A
STK40,POLA2
TAF1D,PTN
MGLL,CHGB
MKKS,PTN
MLF1,GRIK5
MNAT1,HPS6
MPHOSPH6,C14orf1
MPP3,NOA1
MPP3,GNG7
MPP3,MDH1
MPP3,CCDC137
MPP3,PLK2
MPP3,RPS2
MRPL38,C14orf1
MRPL4,EIF2B1
MRPS26,PPP2CA
MRPS9,HAP1
MS4A7,SLC35F6
MS4A7,HMGCL
LRRC41,MYO9B
MVD,EEF1G
MYCBP,CFL1
MYCBP,ARHGEF40
MYCBP,PTCHD2
MYCBP,SSRP1
NAP1L1,NAP1L1
NDUFA6,BAG6
NDUFA7,PRKAB1
NDUFB8,EIF2B3
NDUFB8,PIM2
NDUFB9,GDF9
NDUFV2,SP110
NEU1,EEF1A1
NHP2L1,RBM10
CRCT1,APLP1
NKAP,LUC7L2
NOTCH1,XRCC6
NPM3,KIAA1377
NR4A1,FXYD3
NRBP1,LRIF1
NSF,EIF3E
NSFL1C,LIPE
NSFL1C,RPL22
NSFL1C,TARDBP
NUCKS1,AK5
NUDT3,ASB13
NUDT3,RAB17
NUDT5,MCM3AP
NUP62,IK
NVL,CRMP1
OAT,SLC35F6
OGG1,CHGB
OLFM2,SRSF5
OLFM2,ST13
ORMDL3,EEF1A1
C11orf68,SH3GL3
PACSIN1,KAT7
PAFAH1B2,ACIN1
PAFAH1B2,CCT3
PAFAH1B2,PINX1
PAFAH1B2,PPP1R12C
PAFAH1B2,REXO1
PAFAH1B2,TIMM50
PAFAH1B2,ZFP36L1
SERBP1,FXYD3
PARK2,RAC1
PARK2,RAD1
PCMT1,CHD3
PEX14,MED8
PEX14,ZHX1
PGAM1,XRCC6
PHC2,AFG3L2
PHC2,BSDC1
PHC2,RPL7
PHF10,APLP1
PHYH,TOM1L1
PHYHIP,HDAC11
PHYHIP,WDR89
PHYHIP,MAGED4B
PHYHIP,FAM131A
PHYHIP,METTL18
PHYHIP,NDUFV3
PHYHIP,PPIE
PHYHIP,S100A13
PHYHIP,PRMT5
PHYHIP,SMARCC2
PHYHIP,ZZEF1
PIGC,ZHX1
PISD,DHX29
PISD,DAGLB
PLCE1,NRAS
PLP2,IKBKAP
PLXNB2,PTN
PMAIP1,ZBTB16
PMF1,GDF9
PMF1,KIAA1377
POLR3F,WDR89
POLR3F,PRPF4B
PPAP2C,BAG6
PPAP2C,UNC119
PPP1R16A,CDH24
PPP1R16A,DDX27
PPP1R16A,FSD1
PPP1R16A,IDO1
PPP1R16A,PBDC1
PPP1R16A,PAPSS1
PPP1R16A,PHPT1
PPP1R16A,RGMA
PPP1R1B,DLGAP4
PPP1R8,CRMP1
PPP1R8,SETDB1
PQBP1,C14orf1
PRDX5,CCDC90B
MOB4,CRMP1
MOB4,FADD
MOB4,MED10
MOB4,PLEKHM1
PRG2,RBM48
PRNP,BAG6
PSME3,ATP5B
PSME3,ADAP1
PSME3,PSME3
PSPC1,LRIF1
OLA1,PRMT5
PTEN,UTP14A
TWF2,CHGB
PTOV1,DMTN
PTOV1,PIN1
PTOV1,SPTAN1
PTPN4,ZZEF1
PTPRCAP,EEF1A1
PWP2,TOM1L1
RAB18,PDE6D
RAB1A,CAPNS1
RAB1A,CREB1
RAB1A,FSCN1
RAB1A,HIVEP1
RAB1A,SLC16A8
RAB1A,TBC1D17
RAB27A,EEF1A1
RAB27A,ZBTB16
RGL2,CCDC90B
RAB35,CBR3
RAB35,TBPL1
RAB4A,TP53
RAB8A,BAG6
RABIF,LAMTOR5
RAP1GAP,MEX3B
RAP1GAP,PFN2
RASGRP2,PTCHD2
RBBP4,XRCC6
NELFE,VAMP3
RECQL5,DDX42
RECQL5,ITGB3BP
RECQL5,MAPK8IP1
RECQL5,MTSS1
RER1,IMMT
RGS1,MAP3K12
RGS1,UTP14A
RGS2,WDR74
RGS2,LRFN1
RGS2,NIPSNAP1
RGS2,VPS29
RUFY3,UNC119
RNF146,PFN2
RNF2,CBX4
RBM23,TUBA4A
SNUPN,TNNT3
RPA2,ACP5
RPL10,TBPL1
RPL15,COPS6
RPL18A,LPL
RPL18A,MDK
RPL29,SYBU
RPL9,SORBS2
RPP14,IGSF21
RPS10,HAP1
RPS6KA6,NR4A1
RRAS2,LGALS4
RTN4,CRMP1
RTN4,PRR13
RUSC2,DLST
SGSM2,AFP
SGSM2,CELSR3
SGSM2,KHDRBS3
SGSM2,RGMA
SGSM2,RPS25
RUVBL1,KIAA1377
RUVBL2,FDFT1
S100A10,COPS6
S100A8,C14orf1
S100A8,PRMT1
S100A8,PDCD11
S100A8,PPIA
SAFB2,CHGB
SAT1,ABCB8
SAT1,EVA1A
SAT1,NMRK2
SAT1,INO80C
SAT1,SARAF
ATXN2,CHGB
SCFD1,DLST
SCMH1,SCMH1
SEPHS1,C9orf9
SEPHS1,GBP2
SERF2,CHD3
SERPINA5,COPS6
SERPINH1,SLC35F6
SFPQ,HN1
SRSF4,HAP1
SCG5,UBQLN4
SH3YL1,VIM
ST3GAL3,ACTG1
ST3GAL3,SCAMP2
ST3GAL3,ZBTB5
SLC25A11,COPA
SLC27A6,CUTC
SLC27A6,TNFRSF10C
SLC27A6,VIM
SLC38A3,SETDB1
SUMO2,MAF1
SNAP25,PRRT2
SNAPIN,LAMC1
SNCAIP,GET4
SNCAIP,SH2D3C
SEC11A,SLC35F6
SPG7,RALY
SPTAN1,PIN4
PRSS23,B2M
PRSS23,CHP1
PRSS23,TMEM222
PRSS23,EFNA3
PRSS23,PDDC1
PRSS23,GRK6
PRSS23,HSPA4
PRSS23,NIPBL
PRSS23,NCAPD3
PRSS23,MAPK8IP2
PRSS23,PHF23
PRSS23,RECQL4
PRSS23,SHMT1
PRSS23,TCF12
PRSS23,TRAPPC4
SSFA2,LUC7L2
SUPT7L,PTN
STAR,FEZ1
STAU2,KIAA1377
STMN4,IMMT
STMN4,PHIP
STRN4,AK5
STRN4,ASNS
STRN4,DDX39B
STRN4,CLDN12
STRN4,GDF9
STRN4,NBEA
STRN4,PI4KA
STRN4,ECSIT
STRN4,SLC25A6
STRN4,MTG1
STUB1,MPP1
STX11,PSMC3
STX11,SLC38A2
STX1A,CCSER2
SULT1E1,C14orf1
SUMF2,FBXW7
SVIL,LUC7L2
PDPN,TOM1L1
TAC3,CCDC90B
TADA3,EIF3J
TAZ,CHGB
TBC1D17,CALCOCO1
TBC1D17,TAX1BP1
TBCD,XRCC6
TCEA2,AKT1S1
TCEA2,FBF1
TCEA2,CENPT
TCEA2,WDR47
TCEA2,CCSER2
TCEA2,RPA1
TCEA2,SH3GL2
TCEA2,TAX1BP3
TCF21,APLP1
TDGF1,BAG6
TERF1,CAPNS1
TERF1,DLG5
TERF1,RIC8A
TERF1,SH3GL3
TERF1,ZBTB16
NELFCD,ARPC4
NELFCD,EPRS
NELFCD,SERF2
THAP8,DYNLL1
THAP8,TP53
TM4SF1,DNAJA1
TSPAN6,CHD3
TNFRSF10C,APOA1
TNFRSF10C,FAM101B
FAS,C14orf1
TNFSF10,ACP5
PSMG2,SLC35F6
CELF3,C14orf1
TOB1,SCMH1
TOB1,SETDB1
TOE1,APLP1
TOE1,SUMO1
TOMM20,APOA1
TOMM20,PPHLN1
PBK,GPRASP1
TP53BP2,USP4
TP53I3,FUNDC2
TPD52L1,GPR135
TPD52L1,HDAC1
RNF216,RNF216
TRIM46,AK5
TSC22D1,CORO2B
TSC22D1,CCDC90B
TSPYL1,HAP1
TUBB3,SPTSSA
TUBB3,INSM1
TUBB3,SEL1L3
TUBB3,LAPTM4A
TUBB3,MRPL28
TUBB3,PHIP
TUBB3,ROBO1
UBC,DLGAP4
UBE2D3,MEX3B
UBE2E1,CBWD5
UBE2E1,PAEP
UBXN4,TOM1L1
UGDH,AK5
ULK2,POLA2
UMPS,CDC42EP3
USP11,SETDB1
USP13,DVL1
USP13,FUNDC2
USP13,SPRR2C
USP22,HEXA
USP22,MRPL10
USP22,PSME1
USP22,SCFD1
WFDC2,PTN
XPNPEP1,POLA2
DCTPP1,DCTPP1
ZCCHC10,PIN1
ZFP64,C14orf1
ZBTB22,UBQLN4
RNF114,AK5
ZSCAN16,SLC25A38
ZNF585B,RIC8A
ZNF594,GOLGA2
KLHL20,C14orf1
KLHL20,GBP2
KLHL20,KIAA1377
KLHL20,LUC7L2
KLHL20,LRIF1
ABCD4,XRCC6
ABCD4,PEA15
AGR2,BRD7
AGR2,CCDC90B
AKR1C3,ZHX1
ALB,LUC7L2
ALDH2,SLC35F6
ALDH2,IGSF21
ANXA3,IGSF21
KDM1A,SETDB1
TXNDC9,GIT1
APLP1,UTP14A
ARF1,WBP11
ARL4D,EPRS
ARL15,B4GALT3
ARL15,FUNDC2
ARL15,CCDC90B
ARL15,UBR1
ARHGDIA,JUP
RHOH,LRIF1
RHOH,UTP14A
ARIH2,CBR3
ARIH2,ENSA
ARIH2,IL4R
ARIH2,PPP2R1A
ARIH2,SLC1A6
ARL6IP1,FBXW7
ARL6IP1,FDFT1
ARPC3,CDKN2B
ARRB2,MED8
ARRB2,STC2
SRRT,IMMT
ASAH1,SETDB1
ASAH1,TSC22D1
ASCC2,URM1
ASCC2,RADIL
ASCC2,GTF3C1
ASCC2,FUNDC2
ASCC2,IMMT
ASCC2,MYH9
ASCC2,PIN4
ASCC2,PJA1
ASCC2,POLDIP2
ASCC2,SNRPB
ASCC2,TBC1D17
ASH2L,UNC119
ATF3,IGSF21
ATF3,LRIF1
ATP1B1,LRIF1
ATP5C1,CCND3
ATP5C1,CCT7
ATP5C1,ELOF1
ATP5C1,MED15
ATP5C1,PJA1
ATP5J2,KDM1A
ATP5J2,CRELD1
ATP5J2,FBP1
ATP5J2,CCDC137
ATP5J2,NDUFA6
ATP6AP1,ANG
ATP6AP1,HBA1
ATP6V1F,KIAA1377
ATRX,CCSER2
ATRX,KIAA1377
ATRX,LUC7L2
ATRX,PTN
ATRX,PTPN4
AXIN1,AXIN1
AXIN1,GAK
AXIN1,UTP14A
B2M,BAG6
BCAR1,FXYD6
BCAR1,PPP1R15A
BCAR1,VPS11
BCR,IGSF21
BMI1,IMMT
BMI1,KIAA1377
BMI1,PTN
BRD1,KIAA1377
BRIX1,CD48
BRIX1,SETDB1
BRMS1,EEF1A1
BRMS1,LRIF1
BTBD2,C14orf1
BTBD2,GBP2
BTBD2,GDF9
BTBD2,CCDC90B
BTBD2,IGSF21
BTBD2,PTN
FRA10AC1,EEF1D
C10orf88,CLTC
C10orf88,IMMT
LINC00341,LUC7L2
YLPM1,PRMT1
WDR62,RALY
WDR62,LRIF1
WDR62,TBP
UBQLN4,SMARCB1
ORAI2,COPS6
ORAI2,GDF9
ORAI2,SETDB1
ORAI2,UNC119
GET4,CAPNS1
GET4,PLK1
GET4,TTR
YAE1D1,VIM
PLGRKT,XRCC6
CAAP1,KAT7
CAAP1,PTN
CACNB4,MED31
CACNB4,PTN
CASP8,CASP8
CASP8,CHD3
CBX1,UCHL1
CBX8,HAP1
CBX8,SETDB1
CCL18,C14orf1
CDC42,KAT5
CDH10,COPS6
CDH10,PTN
CDK5RAP2,MAGEH1
CDK5RAP2,PTN
CDK5RAP2,SENP2
CDK5RAP2,ZPR1
CDKN2B,IKBKAP
CDKN2B,CCDC90B
CDKN2C,APLP1
CDKN2C,COPS6
CDKN2C,GDF9
CDKN2C,CCDC90B
CCDC53,GDF9
CCDC53,LAMC1
CUTC,CUTC
CHN2,BAG6
CKMT2,OLFML3
COL9A2,FEZ1
COL9A2,HAP1
COMMD3,ZNF337
KLF6,APOM
KLF6,GTF3C1
KLF6,PNO1
KLF6,POLA2
COX17,COPS6
COX5A,COPS6
COX6C,PTN
CPE,CHD3
CPE,GTF3C1
CPE,POLA2
CRADD,C14orf1
CRADD,EEF1A1
CRADD,CCSER2
CRADD,LRIF1
CREB1,C14orf1
CRELD1,KAT5
CRELD1,POLA2
CRIP1,GPRASP1
CRIP1,HAP1
CRIP1,SH3GL3
CSTF2,ECH1
CTSB,BAG6
DCTN2,GNAO1
DDIT4,LRIF1
DDX11,PFN2
DDX24,HSPA5
DDX24,PIN1
DDX24,SPTAN1
C4orf17,CHD3
C4orf17,COPS6
C4orf17,SH3GL3
NAT9,LUC7L2
DLEU1,PSMA1
DLEU1,SETDB1
DLEU1,SHMT1
DLEU1,TLE1
DLST,DLG5
DLST,PFN2
DNAJB11,BAG6
DNAJB9,DYNLL1
DNAJB9,FSCN1
DNAJB9,MYL6
DNAJB9,TCEA2
DNM1,MED31
TRDMT1,COPS6
TRDMT1,RBM48
TRDMT1,UTP14A
TRDMT1,STX1A
DPPA4,SH3GL1
SH3GL1,DPPA4
DPPA4,SH3GL3
DUSP12,KIAA1377
DUSP12,PTN
GPR183,MTA1
EDN1,COPS6
EFNA1,EEF1G
EFNA1,KAT5
EGFL6,SH3GL3
EIF2S2,CRMP1
EIF2S2,KIAA1377
EIF2S2,ZBTB16
EIF3F,DKC1
EIF3F,EIF3M
ELL3,FTH1
EMD,COPS6
EMD,DPPA4
EMD,SH3GL2
EMD,SH3GL3
CTTN,CHD3
ENO2,ANXA11
ENO2,ENSA
ENO2,HABP4
ENO2,MAP4
EP300,COPS6
DMTN,DYNC1LI2
EPN1,KIAA1377
EPS8,MRPL20
EPS8,MYO15A
ERH,COPS6
ERH,IGSF21
ERH,SH3GL2
ETHE1,LRIF1
EZH2,GTF3C1
EZH2,KLHDC2
EZH2,PIN4
FABP4,VIM
FGFR3,ATF3
FGFR3,ARAP1
FGFR3,CHGB
FGFR3,CTSK
FGFR3,RADIL
FGFR3,GTF3C1
FGFR3,KRT8
FGFR3,POLA2
FLII,DLST
MAP7D1,RBM48
MAP7D1,GPRASP1
ARHGEF40,STC2
EVA1A,PTN
OGFOD2,EEF1G
OGFOD2,KAT5
PRPF38A,GTF3C1
PRPF38A,POLA2
SPDL1,GPS2
SPDL1,KIAA1377
SDHAF2,IMMT
SDHAF2,CCDC90B
LAMTOR1,EEF1A1
C8orf33,GPRASP1
C8orf33,GIT1
C8orf33,HAP1
KATNBL1,HAP1
HEXDC,EEF1D
FOXG1,EEF1G
FOXG1,GDF9
FTL,FTH1
FTL,PTN
AKTIP,ASS1
FUS,PRMT1
FXR1,CRMP1
FXR1,GBP2
FXR1,KIAA1377
FXYD6,RBM48
FXYD6,GDF9
GC,CDC73
GC,LRIF1
BLOC1S1,PTN
GCSH,ING5
GCSH,ZBTB16
GEMIN7,KAT5
GLYAT,RBM48
GLYAT,GPRASP1
GLYAT,PTN
GNB2,CAPNS1
GOLGB1,KIAA1377
GOLGB1,PFN2
GOLM1,RPA2
GABBR2,SH3GL3
POLR2M,APOD
POLR2M,DGKZ
POLR2M,KIAA1377
POLR2M,RBM4B
POLR2M,PSMC2
POLR2M,RPL7A
GSN,TOM1L1
GSTM4,APLP1
GSTM4,MED31
GSTM4,IGSF21
GSTM4,ZBTB16
GSTP1,PNO1
GTF2F1,FEZ1
GTF2F1,PTN
GTF2H1,CCSER2
HABP4,PRMT1
HABP4,VIM
HBA1,HBB
LAMTOR5,GPRASP1
LAMTOR5,UTP14A
LAMTOR5,ZBTB16
HDAC5,GABARAP
HLA-DQA1,APLP1
HLA-DQA1,SH3GL2
INO80B,CD81
HMGB1,C14orf1
HMGB1,CRMP1
HMOX2,COPS6
HMOX2,GPRASP1
HMOX2,SETDB1
OLFML3,FEZ1
OLFML3,SETDB1
HNRNPH3,TTR
TRIOBP,VIM
PRMT1,IGSF21
HSPA8,TM4SF1
HSPB1,IGSF21
HSPB1,PPA1
HSPB3,BBOX1
HSPB3,PRPF4B
HSPB3,LRIF1
HSPB3,SETDB1
HSPB3,ZZEF1
HSPBP1,HSPA8
HSPBP1,LRIF1
CCDC113,GIT1
CCDC113,HAP1
CCDC113,IMMT
CCDC113,PFN2
HSP90AA1,HSP90AA1
HSPE1,GBP2
CCDC106,COPS6
CCDC106,KAT5
CCDC106,LRIF1
CCDC106,UTP14A
CCDC106,SETDB1
CCDC106,TP53
IDH1,ZHX1
IGFBP3,GTF3C1
IK,PFN2
ILF3,GDF9
EIF6,ACAP3
EIF6,CRELD1
EIF6,FUNDC2
EIF6,PDHA1
EIF6,LRIF1
EIF6,RPL6
EIF6,UPF3B
ITSN1,MRPL20
ITSN1,SNX5
ITSN2,BCCIP
ITSN2,PTN
ITSN2,TBL3
IVNS1ABP,CHD3
IVNS1ABP,PFN2
KCTD15,REN
GSE1,RBM48
GSE1,XRCC6
ODF2L,KIAA1377
WWC1,CDC73
WWC1,LRIF1
KIF1B,EEF1A1
KIF22,GDF9
KIF22,IMMT
KIF22,PJA1
NDC80,TOM1L1
MED19,DCK
TINAGL1,UTP14A
LEPR,PIN1
C1orf174,EEF1G
C1orf174,KAT5
HGH1,APOM
HGH1,GPRASP1
HGH1,GTF3C1
HGH1,POLA2
NDUFA4L2,C14orf1
NDUFA4L2,DYNLL1
NDUFA4L2,KAT5
NDUFA4L2,KCNA4
NDUFA4L2,LUC7L2
NDUFA4L2,UBR1
LOR,VIM
LPL,COPS6
LPL,KIAA1377
LPL,LUC7L2
LRPAP1,POLA2
LRPAP1,RTN4
LSM2,ZBTB16
LUC7L2,UNC119
LYPLA2,MED31
MAD2L1BP,KIAA1377
MAD2L1BP,IGSF21
MAD2L1BP,LRIF1
MAFG,MED31
MAFG,RBM48
MAFG,VIM
MAGED1,EIF3J
MAGED1,GPR135
MAGED1,PLK1
MAGED1,RFX1
MAGED1,SIRT7
MAN2A2,GIT1
MAN2A2,IKBKAP
MAN2A2,LUC7L2
PDZK1IP1,COPS6
PDZK1IP1,UTP14A
MAP1LC3B,LUC7L2
MAPK9,ACP5
MCM2,RPS4X
MCTS1,DENR
CCDC130,EEF1A1
CCDC130,ZBTB16
FAM173A,HAP1
FAM173A,IMMT
